provider,provider_id,season,match_date,source_date,competition,home_team,away_team,home_score,away_score,result_note,source_url
FUTBOL24,E3D53E3F1DBDDF77,2018-2019,2018-12-06,2018-12-06,阿塞杯,Qaradag Lokb,Sumqayit FK,0,4,FT,https://www.futbol24.com/match/2018/12/06/national/Azerbaijan/Kubok/2018-2019/Round-1/Qaradag-Lokb/vs/Sumqayit-FK
FOTMOB,2854562,2018/2019,2018-12-09,2018-12-09,阿塞超,Sabah FK,Shamakhi FK,1,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854563,2018/2019,2018-12-09,2018-12-09,阿塞超,Zira,Qarabag FK,0,6,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854564,2018/2019,2018-12-09,2018-12-09,阿塞超,Sabail,FK Qabala,0,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854565,2018/2019,2018-12-09,2018-12-09,阿塞超,FK Neftchi,Sumqayit,0,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FUTBOL24,8166DA73644126C3,2018-2019,2018-12-15,2018-12-15,阿塞杯,Zira FK,Sabail FK,1,0,FT,https://www.futbol24.com/match/2018/12/15/national/Azerbaijan/Kubok/2018-2019/Quarterfinal/Zira-FK/vs/Sabail-FK
FUTBOL24,DB8AC80E15C01B11,2018-2019,2018-12-15,2018-12-15,阿塞杯,Neftchi Baku,Sumqayit FK,0,2,FT,https://www.futbol24.com/match/2018/12/15/national/Azerbaijan/Kubok/2018-2019/Quarterfinal/Neftchi-Baku/vs/Sumqayit-FK
FUTBOL24,194D4AFEA90191E9,2018-2019,2018-12-16,2018-12-16,阿塞杯,Qarabag FK,Keshla FK,1,0,FT,https://www.futbol24.com/match/2018/12/16/national/Azerbaijan/Kubok/2018-2019/Quarterfinal/Qarabag-FK/vs/Keshla-FK
FUTBOL24,CF189838CEFE3F03,2018-2019,2018-12-16,2018-12-16,阿塞杯,Gabala,Sabah FK,1,0,FT,https://www.futbol24.com/match/2018/12/16/national/Azerbaijan/Kubok/2018-2019/Quarterfinal/Gabala/vs/Sabah-FK
FUTBOL24,5B1B73363EE6519D,2018-2019,2018-12-19,2018-12-19,阿塞杯,Sumqayit FK,Neftchi Baku,0,1,FT,https://www.futbol24.com/match/2018/12/19/national/Azerbaijan/Kubok/2018-2019/Quarterfinal/Sumqayit-FK/vs/Neftchi-Baku
FUTBOL24,C7216A2DE8094E54,2018-2019,2018-12-19,2018-12-19,阿塞杯,Sabail FK,Zira FK,2,3,FT,https://www.futbol24.com/match/2018/12/19/national/Azerbaijan/Kubok/2018-2019/Quarterfinal/Sabail-FK/vs/Zira-FK
FUTBOL24,13A958A4A4376311,2018-2019,2018-12-20,2018-12-20,阿塞杯,Sabah FK,Gabala,0,1,FT,https://www.futbol24.com/match/2018/12/20/national/Azerbaijan/Kubok/2018-2019/Quarterfinal/Sabah-FK/vs/Gabala
FUTBOL24,B0652EA364261FB9,2018-2019,2018-12-20,2018-12-20,阿塞杯,Keshla FK,Qarabag FK,1,1,FT,https://www.futbol24.com/match/2018/12/20/national/Azerbaijan/Kubok/2018-2019/Quarterfinal/Keshla-FK/vs/Qarabag-FK
FOTMOB,2854566,2018/2019,2019-02-02,2019-02-02,阿塞超,Zira,Sabah FK,0,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854567,2018/2019,2019-02-02,2019-02-02,阿塞超,Shamakhi FK,Sabail,0,3,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854568,2018/2019,2019-02-03,2019-02-03,阿塞超,Qarabag FK,FK Neftchi,1,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854569,2018/2019,2019-02-03,2019-02-03,阿塞超,FK Qabala,Sumqayit,1,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854556,2018/2019,2019-02-09,2019-02-09,阿塞超,Sumqayit,Qarabag FK,0,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854570,2018/2019,2019-02-09,2019-02-09,阿塞超,Sabah FK,FK Qabala,0,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854587,2018/2019,2019-02-10,2019-02-10,阿塞超,FK Neftchi,Shamakhi FK,2,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854604,2018/2019,2019-02-10,2019-02-10,阿塞超,Sabail,Zira,0,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854605,2018/2019,2019-02-16,2019-02-16,阿塞超,Zira,FK Neftchi,0,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854606,2018/2019,2019-02-16,2019-02-16,阿塞超,Shamakhi FK,Sumqayit,2,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854607,2018/2019,2019-02-17,2019-02-17,阿塞超,Sabail,Sabah FK,1,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854608,2018/2019,2019-02-17,2019-02-17,阿塞超,Qarabag FK,FK Qabala,2,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854609,2018/2019,2019-02-23,2019-02-23,阿塞超,Sabah FK,Qarabag FK,1,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854610,2018/2019,2019-02-23,2019-02-23,阿塞超,FK Qabala,Shamakhi FK,0,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854611,2018/2019,2019-02-24,2019-02-24,阿塞超,Sumqayit,Zira,0,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854612,2018/2019,2019-02-24,2019-02-24,阿塞超,FK Neftchi,Sabail,1,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854613,2018/2019,2019-03-02,2019-03-02,阿塞超,FK Neftchi,Sabah FK,3,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854614,2018/2019,2019-03-02,2019-03-02,阿塞超,Sabail,Sumqayit,0,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854615,2018/2019,2019-03-03,2019-03-03,阿塞超,Zira,FK Qabala,1,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854616,2018/2019,2019-03-03,2019-03-03,阿塞超,Shamakhi FK,Qarabag FK,0,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854602,2018/2019,2019-03-09,2019-03-09,阿塞超,Qarabag FK,Zira,0,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854603,2018/2019,2019-03-09,2019-03-09,阿塞超,Shamakhi FK,Sabah FK,3,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854588,2018/2019,2019-03-10,2019-03-10,阿塞超,Sumqayit,FK Neftchi,1,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854601,2018/2019,2019-03-10,2019-03-10,阿塞超,FK Qabala,Sabail,2,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854589,2018/2019,2019-03-15,2019-03-15,阿塞超,Sabah FK,Sumqayit,1,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854590,2018/2019,2019-03-15,2019-03-15,阿塞超,FK Neftchi,FK Qabala,1,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854591,2018/2019,2019-03-15,2019-03-15,阿塞超,Sabail,Qarabag FK,1,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854592,2018/2019,2019-03-15,2019-03-15,阿塞超,Zira,Shamakhi FK,2,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854593,2018/2019,2019-03-30,2019-03-30,阿塞超,Shamakhi FK,FK Neftchi,0,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854594,2018/2019,2019-03-30,2019-03-30,阿塞超,Zira,Sabail,1,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854595,2018/2019,2019-04-01,2019-04-01,阿塞超,FK Qabala,Sabah FK,0,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854596,2018/2019,2019-04-01,2019-04-01,阿塞超,Sumqayit,Qarabag FK,0,6,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854597,2018/2019,2019-04-06,2019-04-06,阿塞超,FK Neftchi,Zira,4,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854598,2018/2019,2019-04-06,2019-04-06,阿塞超,Sumqayit,Shamakhi FK,2,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
